Import,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\scrapy\scrapy\cmdline.py,cmdline.py,scrapy.utils.project.inside_project,inside_project
Import,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\scrapy\scrapy\cmdline.py,cmdline.py,scrapy.utils.project.get_project_settings,get_project_settings
Import,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\scrapy\scrapy\cmdline.py,cmdline.py,scrapy.utils.python.garbage_collect,garbage_collect
Import,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\scrapy\scrapy\cmdline.py,cmdline.py,scrapy.settings.deprecated.check_deprecated_settings,check_deprecated_settings
Call,scrapy.cmdline._iter_command_classes,_iter_command_classes,scrapy.utils.misc.walk_modules,walk_modules
Use,scrapy.cmdline._iter_command_classes,_iter_command_classes,module_name,module_name
Call,scrapy.cmdline._get_commands_from_module,_get_commands_from_module,scrapy.cmdline._iter_command_classes,_iter_command_classes
Use,scrapy.cmdline._get_commands_from_module,_get_commands_from_module,module,module
Use,scrapy.cmdline._get_commands_from_module,_get_commands_from_module,inproject,inproject
Use,scrapy.cmdline._get_commands_from_module,_get_commands_from_module,scrapy.cmdline._get_commands_from_module.d,d
Use,scrapy.cmdline._get_commands_from_module,_get_commands_from_module,scrapy.cmdline._get_commands_from_module.cmdname,cmdname
Set,scrapy.cmdline._get_commands_from_module,_get_commands_from_module,scrapy.cmdline._get_commands_from_module.d,d
Set,scrapy.cmdline._get_commands_from_module,_get_commands_from_module,scrapy.cmdline._get_commands_from_module.cmdname,cmdname
Set,scrapy.cmdline._get_commands_from_module,_get_commands_from_module,scrapy.cmdline._get_commands_from_module.dnull,dnull
Call,scrapy.cmdline._get_commands_from_entry_points,_get_commands_from_entry_points,scrapy.cmdline._get_commands_from_entry_points.obj,obj
Use,scrapy.cmdline._get_commands_from_entry_points,_get_commands_from_entry_points,group,group
Use,scrapy.cmdline._get_commands_from_entry_points,_get_commands_from_entry_points,scrapy.cmdline._get_commands_from_entry_points.cmds,cmds
Use,scrapy.cmdline._get_commands_from_entry_points,_get_commands_from_entry_points,scrapy.cmdline._get_commands_from_entry_points.obj,obj
Set,scrapy.cmdline._get_commands_from_entry_points,_get_commands_from_entry_points,scrapy.cmdline._get_commands_from_entry_points.cmds,cmds
Set,scrapy.cmdline._get_commands_from_entry_points,_get_commands_from_entry_points,scrapy.cmdline._get_commands_from_entry_points.obj,obj
Set,scrapy.cmdline._get_commands_from_entry_points,_get_commands_from_entry_points,scrapy.cmdline._get_commands_from_entry_points.cmdsnull,cmdsnull
Call,scrapy.cmdline._get_commands_dict,_get_commands_dict,scrapy.cmdline._get_commands_from_module,_get_commands_from_module
Call,scrapy.cmdline._get_commands_dict,_get_commands_dict,scrapy.cmdline._get_commands_from_entry_points,_get_commands_from_entry_points
Call,scrapy.cmdline._get_commands_dict,_get_commands_dict,scrapy.cmdline._get_commands_from_module,_get_commands_from_module
Use,scrapy.cmdline._get_commands_dict,_get_commands_dict,inproject,inproject
Use,scrapy.cmdline._get_commands_dict,_get_commands_dict,scrapy.cmdline._get_commands_dict.cmds,cmds
Use,scrapy.cmdline._get_commands_dict,_get_commands_dict,scrapy.cmdline._get_commands_dict.cmds_module,cmds_module
Set,scrapy.cmdline._get_commands_dict,_get_commands_dict,scrapy.cmdline._get_commands_dict.cmds,cmds
Set,scrapy.cmdline._get_commands_dict,_get_commands_dict,scrapy.cmdline._get_commands_dict.cmds_module,cmds_module
Use,scrapy.cmdline._pop_command_name,_pop_command_name,scrapy.cmdline._pop_command_name.i,i
Set,scrapy.cmdline._pop_command_name,_pop_command_name,scrapy.cmdline._pop_command_name.i,i
Use,scrapy.cmdline._print_header,_print_header,scrapy.__init__.__version__,__version__
Use,scrapy.cmdline._print_header,_print_header,inproject,inproject
Call,scrapy.cmdline._print_commands,_print_commands,scrapy.cmdline._print_header,_print_header
Call,scrapy.cmdline._print_commands,_print_commands,scrapy.cmdline._get_commands_dict,_get_commands_dict
Use,scrapy.cmdline._print_commands,_print_commands,settings,settings
Use,scrapy.cmdline._print_commands,_print_commands,inproject,inproject
Set,scrapy.cmdline._print_commands,_print_commands,scrapy.cmdline._print_commands.cmds,cmds
Call,scrapy.cmdline._print_unknown_command,_print_unknown_command,scrapy.cmdline._print_header,_print_header
Use,scrapy.cmdline._print_unknown_command,_print_unknown_command,settings,settings
Use,scrapy.cmdline._print_unknown_command,_print_unknown_command,cmdname,cmdname
Use,scrapy.cmdline._print_unknown_command,_print_unknown_command,inproject,inproject
Call,scrapy.cmdline._run_print_help,_run_print_help,func,func
Use,scrapy.cmdline._run_print_help,_run_print_help,a,a
Use,scrapy.cmdline._run_print_help,_run_print_help,kw,kw
Use,scrapy.cmdline._run_print_help,_run_print_help,scrapy.exceptions.UsageError,UsageError
Import,scrapy.cmdline.execute,execute,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\scrapy\scrapy\conf.py,conf.py
Import,scrapy.cmdline.execute,execute,scrapy.exceptions.ScrapyDeprecationWarning,ScrapyDeprecationWarning
Import,scrapy.cmdline.execute,execute,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\scrapy\scrapy\conf.py,conf.py
Call,scrapy.cmdline.execute,execute,scrapy.utils.project.get_project_settings,get_project_settings
Call,scrapy.cmdline.execute,execute,scrapy.settings.deprecated.check_deprecated_settings,check_deprecated_settings
Call,scrapy.cmdline.execute,execute,scrapy.utils.project.inside_project,inside_project
Call,scrapy.cmdline.execute,execute,scrapy.cmdline._get_commands_dict,_get_commands_dict
Call,scrapy.cmdline.execute,execute,scrapy.cmdline._pop_command_name,_pop_command_name
Call,scrapy.cmdline.execute,execute,scrapy.cmdline._print_commands,_print_commands
Call,scrapy.cmdline.execute,execute,scrapy.cmdline._print_unknown_command,_print_unknown_command
Call,scrapy.cmdline.execute,execute,scrapy.cmdline._run_print_help,_run_print_help
Call,scrapy.cmdline.execute,execute,scrapy.crawler.CrawlerProcess,CrawlerProcess
Call,scrapy.cmdline.execute,execute,scrapy.cmdline._run_print_help,_run_print_help
Use,scrapy.cmdline.execute,execute,argv,argv
Use,scrapy.cmdline.execute,execute,settings,settings
Use,scrapy.cmdline.execute,execute,scrapy.cmdline.execute.editor,editor
Use,scrapy.cmdline.execute,execute,scrapy.cmdline.execute.inproject,inproject
Use,scrapy.cmdline.execute,execute,scrapy.cmdline.execute.cmds,cmds
Use,scrapy.cmdline.execute,execute,scrapy.exceptions.ScrapyDeprecationWarning,ScrapyDeprecationWarning
Use,scrapy.cmdline.execute,execute,scrapy.cmdline.execute.cmdname,cmdname
Use,scrapy.cmdline.execute,execute,scrapy.cmdline.execute.parser,parser
Use,scrapy.cmdline.execute,execute,scrapy.cmdline.execute.cmd,cmd
Use,scrapy.cmdline.execute,execute,scrapy.cmdline.execute.opts,opts
Use,scrapy.cmdline.execute,execute,scrapy.cmdline.execute.args,args
Use,scrapy.cmdline.execute,execute,scrapy.cmdline._run_command,_run_command
Use,scrapy.cmdline.execute,execute,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\scrapy\scrapy\conf.py,conf.py
Use,scrapy.cmdline.execute,execute,scrapy.conf.settings,settings
Set,scrapy.cmdline.execute,execute,scrapy.cmdline.execute.settingsnull,settingsnull
Set,scrapy.cmdline.execute,execute,scrapy.cmdline.execute.inproject,inproject
Set,scrapy.cmdline.execute,execute,scrapy.cmdline.execute.cmds,cmds
Set,scrapy.cmdline.execute,execute,scrapy.cmdline.execute.cmdname,cmdname
Set,scrapy.cmdline.execute,execute,scrapy.cmdline.execute.parser,parser
Set,scrapy.cmdline.execute,execute,scrapy.cmdline.execute.cmd,cmd
Set,scrapy.cmdline.execute,execute,scrapy.cmdline.execute.opts,opts
Set,scrapy.cmdline.execute,execute,scrapy.cmdline.execute.args,args
Set,scrapy.cmdline.execute,execute,argv,argv
Set,scrapy.cmdline.execute,execute,settings,settings
Set,scrapy.cmdline.execute,execute,scrapy.conf.settings,settings
Set,scrapy.cmdline.execute,execute,scrapy.cmdline.execute.editor,editor
Call,scrapy.cmdline._run_command,_run_command,scrapy.cmdline._run_command_profiled,_run_command_profiled
Use,scrapy.cmdline._run_command,_run_command,cmd,cmd
Use,scrapy.cmdline._run_command,_run_command,args,args
Use,scrapy.cmdline._run_command,_run_command,opts,opts
Use,scrapy.cmdline._run_command_profiled,_run_command_profiled,scrapy.cmdline._run_command_profiled.loc,loc
Set,scrapy.cmdline._run_command_profiled,_run_command_profiled,scrapy.cmdline._run_command_profiled.loc,loc
Set,scrapy.cmdline._run_command_profiled,_run_command_profiled,scrapy.cmdline._run_command_profiled.p,p
Call,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\scrapy\scrapy\cmdline.py,cmdline.py,scrapy.cmdline.execute,execute
Call,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\scrapy\scrapy\cmdline.py,cmdline.py,scrapy.utils.python.garbage_collect,garbage_collect
Import,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\scrapy\scrapy\commands\bench.py,bench.py,scrapy,scrapy
Call,scrapy.commands.bench.Command.run,run,scrapy.commands.bench._BenchServer,_BenchServer
Use,scrapy.commands.bench.Command.run,run,scrapy.commands.bench._BenchSpider,_BenchSpider
Import,scrapy.commands.bench._BenchServer.__enter__,__enter__,scrapy.utils.test.get_testenv,get_testenv
Call,scrapy.commands.bench._BenchServer.__enter__,__enter__,scrapy.utils.test.get_testenv,get_testenv
Use,scrapy.commands.bench._BenchServer.__enter__,__enter__,scrapy.commands.bench._BenchServer.__enter__.pargs,pargs
Set,scrapy.commands.bench._BenchServer.__enter__,__enter__,scrapy.commands.bench._BenchServer.__enter__.pargs,pargs
Use,scrapy.commands.bench._BenchSpider.start_requests,start_requests,scrapy.commands.bench._BenchSpider.start_requests.url,url
Use,scrapy.commands.bench._BenchSpider.start_requests,start_requests,scrapy.commands.bench._BenchSpider.total,total
Use,scrapy.commands.bench._BenchSpider.start_requests,start_requests,scrapy.commands.bench._BenchSpider.show,show
Use,scrapy.commands.bench._BenchSpider.start_requests,start_requests,scrapy.commands.bench._BenchSpider.baseurl,baseurl
Use,scrapy.commands.bench._BenchSpider.start_requests,start_requests,scrapy.commands.bench._BenchSpider.start_requests.qargs,qargs
Set,scrapy.commands.bench._BenchSpider.start_requests,start_requests,scrapy.commands.bench._BenchSpider.start_requests.url,url
Set,scrapy.commands.bench._BenchSpider.start_requests,start_requests,scrapy.commands.bench._BenchSpider.start_requests.qargs,qargs
Use,scrapy.commands.bench._BenchSpider.parse,parse,scrapy.commands.bench._BenchSpider.parse,parse
Use,scrapy.commands.bench._BenchSpider.parse,parse,response,response
Import,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\scrapy\scrapy\commands\check.py,check.py,scrapy.utils.misc.load_object,load_object
Import,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\scrapy\scrapy\commands\check.py,check.py,scrapy.utils.conf.build_component_list,build_component_list
Call,scrapy.commands.check.TextTestResult.printSummary,printSummary,scrapy.commands.check.TextTestResult.printSummary.writeln,writeln
Call,scrapy.commands.check.TextTestResult.printSummary,printSummary,scrapy.commands.check.TextTestResult.printSummary.writeln,writeln
Call,scrapy.commands.check.TextTestResult.printSummary,printSummary,scrapy.commands.check.TextTestResult.printSummary.writeln,writeln
Call,scrapy.commands.check.TextTestResult.printSummary,printSummary,scrapy.commands.check.TextTestResult.printSummary.write,write
Call,scrapy.commands.check.TextTestResult.printSummary,printSummary,scrapy.commands.check.TextTestResult.printSummary.write,write
Call,scrapy.commands.check.TextTestResult.printSummary,printSummary,scrapy.commands.check.TextTestResult.printSummary.writeln,writeln
Call,scrapy.commands.check.TextTestResult.printSummary,printSummary,scrapy.commands.check.TextTestResult.printSummary.write,write
