Extend,behavioral.chain.ConcreteHandler2,ConcreteHandler2,behavioral.chain.Handler,Handler
Use,behavioral.chain.ConcreteHandler2._handle,_handle,request,request
Extend,behavioral.chain.ConcreteHandler3,ConcreteHandler3,behavioral.chain.Handler,Handler
Use,behavioral.chain.ConcreteHandler3._handle,_handle,request,request
Extend,behavioral.chain.DefaultHandler,DefaultHandler,behavioral.chain.Handler,Handler
Use,behavioral.chain.DefaultHandler._handle,_handle,request,request
Call,behavioral.chain.Client.__init__,__init__,behavioral.chain.DefaultHandler,DefaultHandler
Call,behavioral.chain.Client.__init__,__init__,behavioral.chain.ConcreteHandler2,ConcreteHandler2
Call,behavioral.chain.Client.__init__,__init__,behavioral.chain.ConcreteHandler3,ConcreteHandler3
Call,behavioral.chain.Client.__init__,__init__,behavioral.chain.ConcreteHandler1,ConcreteHandler1
Use,behavioral.chain.Client.delegate,delegate,requests,requests
Use,behavioral.chain.coroutine,coroutine,behavioral.chain.coroutine.start,start
Use,behavioral.chain.coroutine1,coroutine1,behavioral.chain.coroutine1.request,request
Set,behavioral.chain.coroutine1,coroutine1,behavioral.chain.coroutine1.request,request
Use,behavioral.chain.coroutine2,coroutine2,behavioral.chain.coroutine2.request,request
Set,behavioral.chain.coroutine2,coroutine2,behavioral.chain.coroutine2.request,request
Use,behavioral.chain.coroutine3,coroutine3,behavioral.chain.coroutine3.request,request
Set,behavioral.chain.coroutine3,coroutine3,behavioral.chain.coroutine3.request,request
Use,behavioral.chain.default_coroutine,default_coroutine,behavioral.chain.default_coroutine.request,request
Set,behavioral.chain.default_coroutine,default_coroutine,behavioral.chain.default_coroutine.request,request
Call,behavioral.chain.ClientCoroutine.__init__,__init__,behavioral.chain.default_coroutine,default_coroutine
Call,behavioral.chain.ClientCoroutine.__init__,__init__,behavioral.chain.coroutine2,coroutine2
Call,behavioral.chain.ClientCoroutine.__init__,__init__,behavioral.chain.coroutine3,coroutine3
Call,behavioral.chain.ClientCoroutine.__init__,__init__,behavioral.chain.coroutine1,coroutine1
Use,behavioral.chain.ClientCoroutine.delegate,delegate,requests,requests
Use,behavioral.chain.timeit,timeit,behavioral.chain.timeit.count,count
Use,behavioral.chain.suppress_stdout,suppress_stdout,behavioral.chain.suppress_stdout.stdout,stdout
Set,behavioral.chain.suppress_stdout,suppress_stdout,behavioral.chain.suppress_stdout.stdout,stdout
Call,C:\Users\wj86\Documents\gitrepo\python-workspace\python-patterns\behavioral\chain.py,chain.py,behavioral.chain.Client,Client
Call,C:\Users\wj86\Documents\gitrepo\python-workspace\python-patterns\behavioral\chain.py,chain.py,behavioral.chain.ClientCoroutine,ClientCoroutine
Call,C:\Users\wj86\Documents\gitrepo\python-workspace\python-patterns\behavioral\chain.py,chain.py,behavioral.chain.Client.delegate,delegate
Call,C:\Users\wj86\Documents\gitrepo\python-workspace\python-patterns\behavioral\chain.py,chain.py,behavioral.chain.ClientCoroutine.delegate,delegate
Call,C:\Users\wj86\Documents\gitrepo\python-workspace\python-patterns\behavioral\chain.py,chain.py,behavioral.chain.timeit,timeit
Call,C:\Users\wj86\Documents\gitrepo\python-workspace\python-patterns\behavioral\chain.py,chain.py,behavioral.chain.timeit,timeit
Call,C:\Users\wj86\Documents\gitrepo\python-workspace\python-patterns\behavioral\chain.py,chain.py,behavioral.chain.suppress_stdout,suppress_stdout
Call,C:\Users\wj86\Documents\gitrepo\python-workspace\python-patterns\behavioral\chain.py,chain.py,behavioral.chain.__main__.client1_delegate,client1_delegate
Call,C:\Users\wj86\Documents\gitrepo\python-workspace\python-patterns\behavioral\chain.py,chain.py,behavioral.chain.__main__.client2_delegate,client2_delegate
Use,C:\Users\wj86\Documents\gitrepo\python-workspace\python-patterns\behavioral\chain.py,chain.py,behavioral.chain.ClientCoroutine.delegate,delegate
Use,C:\Users\wj86\Documents\gitrepo\python-workspace\python-patterns\behavioral\chain.py,chain.py,behavioral.chain.Client.delegate,delegate
Use,C:\Users\wj86\Documents\gitrepo\python-workspace\python-patterns\behavioral\chain.py,chain.py,behavioral.chain.__main__.requests,requests
Set,C:\Users\wj86\Documents\gitrepo\python-workspace\python-patterns\behavioral\chain.py,chain.py,behavioral.chain.__main__.client1_delegate,client1_delegate
