Return,beego.app.Get,Get,beego.app.App,App
Use,beego.app.Get,Get,beego.app.BeeApp,BeeApp
Use,beego.app.Get,Get,beego.app.Get.f,f
Use,beego.app.Get,Get,beego.app.Get.rootpath,rootpath
Parameter,beego.app.Post,Post,beego.filter.FilterFunc,FilterFunc
Return,beego.app.Post,Post,beego.app.App,App
Use,beego.app.Post,Post,beego.app.BeeApp,BeeApp
Use,beego.app.Post,Post,beego.app.Post.f,f
Use,beego.app.Post,Post,beego.app.Post.rootpath,rootpath
Parameter,beego.app.Delete,Delete,beego.filter.FilterFunc,FilterFunc
Return,beego.app.Delete,Delete,beego.app.App,App
Use,beego.app.Delete,Delete,beego.app.BeeApp,BeeApp
Use,beego.app.Delete,Delete,beego.app.Delete.f,f
Use,beego.app.Delete,Delete,beego.app.Delete.rootpath,rootpath
Parameter,beego.app.Put,Put,beego.filter.FilterFunc,FilterFunc
Return,beego.app.Put,Put,beego.app.App,App
Use,beego.app.Put,Put,beego.app.BeeApp,BeeApp
Use,beego.app.Put,Put,beego.app.Put.f,f
Use,beego.app.Put,Put,beego.app.Put.rootpath,rootpath
Parameter,beego.app.Head,Head,beego.filter.FilterFunc,FilterFunc
Return,beego.app.Head,Head,beego.app.App,App
Use,beego.app.Head,Head,beego.app.BeeApp,BeeApp
Use,beego.app.Head,Head,beego.app.Head.f,f
Use,beego.app.Head,Head,beego.app.Head.rootpath,rootpath
Parameter,beego.app.Options,Options,beego.filter.FilterFunc,FilterFunc
Return,beego.app.Options,Options,beego.app.App,App
Use,beego.app.Options,Options,beego.app.BeeApp,BeeApp
Use,beego.app.Options,Options,beego.app.Options.f,f
Use,beego.app.Options,Options,beego.app.Options.rootpath,rootpath
Parameter,beego.app.Patch,Patch,beego.filter.FilterFunc,FilterFunc
Return,beego.app.Patch,Patch,beego.app.App,App
Use,beego.app.Patch,Patch,beego.app.BeeApp,BeeApp
Use,beego.app.Patch,Patch,beego.app.Patch.f,f
Use,beego.app.Patch,Patch,beego.app.Patch.rootpath,rootpath
Parameter,beego.app.Any,Any,beego.filter.FilterFunc,FilterFunc
Return,beego.app.Any,Any,beego.app.App,App
Use,beego.app.Any,Any,beego.app.BeeApp,BeeApp
Use,beego.app.Any,Any,beego.app.Any.f,f
Use,beego.app.Any,Any,beego.app.Any.rootpath,rootpath
Return,beego.app.Handler,Handler,beego.app.App,App
