Id,Label,Type,Parent
115401,BpfVersion,class,115049
17096,constext,folder,-1
713,github.com/golang/dep/cmd/dep/main.go,file,90
17097,github.com/golang/dep/vendor/github.com/sdboyer/constext/constext.go,file,17096
82634,Sethostname,function,82148
115404,BpfStat,class,115049
82638,Setpgid,function,82148
17104,constext,class,17097
17105,Cons,function,17097
115408,BpfZbuf,class,115049
115411,BpfProgram,class,115049
82642,Setsid,function,82148
723,command,class,713
724,silentfail,class,713
725,Error,function,724
17111,cancel,function,17104
82646,Settimeofday,function,82148
728,main,function,713
82649,Setns,function,82148
115416,BpfInsn,class,115049
17114,Deadline,function,17104
82653,Setpriority,function,82148
115422,BpfHdr,class,115049
17122,Done,function,17104
115427,BpfZbufHeader,class,115049
82658,Setxattr,function,82148
17125,Err,function,17104
742,Config,class,713
743,Run,function,742
17128,Value,function,17104
82667,Sync,function,82148
115435,Termios,class,115049
82668,Syncfs,function,82148
17133,context,folder,-1
82671,Sysinfo,function,82148
17134,github.com/golang/dep/vendor/golang.org/x/net/context/context.go,file,17133
17135,Background,function,17134
17137,TODO,function,17134
115440,Winsize,class,115049
82674,Tee,function,82148
17139,github.com/golang/dep/vendor/golang.org/x/net/context/go17.go,file,17133
115447,github.com/golang/dep/vendor/golang.org/x/sys/unix/ztypes_linux_386.go,file,17309
115446,CapRights,class,115049
17144,WithCancel,function,17139
82682,Tgkill,function,82148
766,commandList,function,713
17150,WithDeadline,function,17139
82687,Times,function,82148
115455,_C_int,class,115447
115454,_C_short,class,115447
115457,_C_long_long,class,115447
769,fprintUsage,function,713
115456,_C_long,class,115447
773,resetUsage,function,713
17157,WithTimeout,function,17139
82692,Umask,function,82148
115460,Timespec,class,115447
115463,Timeval,class,115447
82696,Uname,function,82148
17162,WithValue,function,17139
82699,Unmount,function,82148
783,parseArgs,function,713
17167,github.com/golang/dep/vendor/golang.org/x/net/context/go19.go,file,17133
17168,Context,class,17167
82704,Unshare,function,82148
17169,CancelFunc,class,17167
82707,Ustat,function,82148
17170,github.com/golang/dep/vendor/golang.org/x/net/context/pre_go17.go,file,17133
17171,emptyCtx,class,17170
17172,Deadline,function,17171
789,getEnv,function,713
82711,write,function,82148
17176,Done,function,17171
17179,Err,function,17171
115485,Timex,class,115447
17182,Value,function,17171
798,commentWriter,class,713
799,Write,function,798
82718,exitThread,function,82148
115486,Time_t,class,115447
82721,readlen,function,82148
17186,String,function,17171
115491,Tms,class,115447
115494,Utimbuf,class,115447
17193,WithCancel,function,17170
82728,writelen,function,82148
17198,newCancelCtx,function,17170
82735,munmap,function,82148
814,profile,class,713
815,start,function,814
17201,propagateCancel,function,17170
82739,Madvise,function,82148
819,finish,function,814
17206,parentCancelCtx,function,17170
115511,Rusage,class,115447
824,createOutput,function,814
82744,Mprotect,function,82148
17210,removeChild,function,17170
115515,_Gid_t,class,115447
115514,Rlimit,class,115447
82749,Mlock,function,82148
830,github.com/golang/dep/cmd/dep/prune.go,file,90
82753,Munlock,function,82148
833,pruneCommand,class,830
17217,canceler,class,17170
834,Name,function,833
82757,Mlockall,function,82148
837,Args,function,833
17223,cancelCtx,class,17170
840,ShortHelp,function,833
17224,Done,function,17223
82760,Msync,function,82148
843,LongHelp,function,833
17227,Err,function,17223
82765,Munlockall,function,82148
846,Hidden,function,833
17230,String,function,17223
82767,EpollWait,function,82148
115534,Stat_t,class,115447
849,Register,function,833
17233,cancel,function,17223
852,Run,function,833
17237,WithDeadline,function,17170
82775,Dup2,function,82148
82779,Fchown,function,82148
115547,Statfs_t,class,115447
865,pruneProject,function,830
82784,Fstat,function,82148
17249,timerCtx,class,17170
17250,Deadline,function,17249
115554,Dirent,class,115447
82788,Fstatfs,function,82148
115556,Fsid,class,115447
17254,String,function,17249
17257,cancel,function,17249
82792,Ftruncate,function,82148
115562,Flock_t,class,115447
17261,WithTimeout,function,17170
82796,Getegid,function,82148
82799,Geteuid,function,82148
115568,FscryptPolicy,class,115447
882,calculatePrune,function,830
17266,WithValue,function,17170
82802,Getgid,function,82148
82805,Getrlimit,function,82148
115572,FscryptKey,class,115447
82809,Getuid,function,82148
115576,KeyctlDHParams,class,115447
17274,valueCtx,class,17170
17275,String,function,17274
892,deleteDirs,function,830
82812,InotifyInit,function,82148
17278,Value,function,17274
896,byLen,class,830
897,Len,function,896
82816,Ioperm,function,82148
115587,RawSockaddrInet4,class,115447
17282,github.com/golang/dep/vendor/golang.org/x/net/context/pre_go19.go,file,17133
900,Swap,function,896
82821,Iopl,function,82148
17287,Context,class,17282
904,Less,function,896
17288,CancelFunc,class,17282
115593,RawSockaddrInet6,class,115447
82824,Lchown,function,82148
17289,errgroup,folder,-1
17290,github.com/golang/dep/vendor/golang.org/x/sync/errgroup/errgroup.go,file,17289
115596,RawSockaddrUnix,class,115447
909,github.com/golang/dep/cmd/dep/root_analyzer.go,file,90
82830,Listen,function,82148
17295,Group,class,17290
17296,WithContext,function,17290
914,rootAnalyzer,class,909
915,newRootAnalyzer,function,909
82834,Lstat,function,82148
