Use,pystone.Func2,Func2,pystone.TRUE,TRUE
Use,pystone.Func2,Func2,pystone.FALSE,FALSE
Use,pystone.Func2,Func2,StrParI1,StrParI1
Use,pystone.Func2,Func2,StrParI2,StrParI2
Use,pystone.Func2,Func2,pystone.Func2.IntLoc,IntLoc
Use,pystone.Func2,Func2,pystone.Func2.CharLoc,CharLoc
Set,pystone.Func2,Func2,pystone.Func2.IntLoc,IntLoc
Set,pystone.Func2,Func2,pystone.Func2.CharLoc,CharLoc
Use,pystone.Func3,Func3,pystone.TRUE,TRUE
Use,pystone.Func3,Func3,pystone.FALSE,FALSE
Use,pystone.Func3,Func3,EnumParIn,EnumParIn
Use,pystone.Func3,Func3,pystone.Func3.EnumLoc,EnumLoc
Set,pystone.Func3,Func3,pystone.Func3.EnumLoc,EnumLoc
Call,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\tests\benchmarks\pystone.py,pystone.py,pystone.__main__.error,error
Call,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\tests\benchmarks\pystone.py,pystone.py,pystone.__main__.error,error
Call,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\tests\benchmarks\pystone.py,pystone.py,pystone.main,main
Use,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\tests\benchmarks\pystone.py,pystone.py,pystone.__main__.nargs,nargs
Use,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\tests\benchmarks\pystone.py,pystone.py,pystone.__main__.loops,loops
Use,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\tests\benchmarks\pystone.py,pystone.py,pystone.LOOPS,LOOPS
Set,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\tests\benchmarks\pystone.py,pystone.py,pystone.__main__.nargs,nargs
Set,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\tests\benchmarks\pystone.py,pystone.py,pystone.__main__.loops,loops
Use,unpack_sequence.do_unpacking,do_unpacking,unpack_sequence.do_unpacking.t1,t1
Use,unpack_sequence.do_unpacking,do_unpacking,iterations,iterations
Use,unpack_sequence.do_unpacking,do_unpacking,to_unpack,to_unpack
Use,unpack_sequence.do_unpacking,do_unpacking,unpack_sequence.do_unpacking.times,times
Use,unpack_sequence.do_unpacking,do_unpacking,unpack_sequence.do_unpacking.t0,t0
Set,unpack_sequence.do_unpacking,do_unpacking,unpack_sequence.do_unpacking.h,h
Set,unpack_sequence.do_unpacking,do_unpacking,unpack_sequence.do_unpacking.i,i
Set,unpack_sequence.do_unpacking,do_unpacking,unpack_sequence.do_unpacking.j,j
Set,unpack_sequence.do_unpacking,do_unpacking,unpack_sequence.do_unpacking.t1,t1
Set,unpack_sequence.do_unpacking,do_unpacking,unpack_sequence.do_unpacking.times,times
Set,unpack_sequence.do_unpacking,do_unpacking,unpack_sequence.do_unpacking.t0,t0
Set,unpack_sequence.do_unpacking,do_unpacking,unpack_sequence.do_unpacking.a,a
Set,unpack_sequence.do_unpacking,do_unpacking,unpack_sequence.do_unpacking.b,b
Set,unpack_sequence.do_unpacking,do_unpacking,unpack_sequence.do_unpacking.c,c
Set,unpack_sequence.do_unpacking,do_unpacking,unpack_sequence.do_unpacking.d,d
Set,unpack_sequence.do_unpacking,do_unpacking,unpack_sequence.do_unpacking.e,e
Set,unpack_sequence.do_unpacking,do_unpacking,unpack_sequence.do_unpacking.f,f
Set,unpack_sequence.do_unpacking,do_unpacking,unpack_sequence.do_unpacking.g,g
Call,unpack_sequence.test_tuple_unpacking,test_tuple_unpacking,unpack_sequence.do_unpacking,do_unpacking
Use,unpack_sequence.test_tuple_unpacking,test_tuple_unpacking,iterations,iterations
Use,unpack_sequence.test_tuple_unpacking,test_tuple_unpacking,unpack_sequence.test_tuple_unpacking.x,x
Set,unpack_sequence.test_tuple_unpacking,test_tuple_unpacking,unpack_sequence.test_tuple_unpacking.x,x
Call,unpack_sequence.test_list_unpacking,test_list_unpacking,unpack_sequence.do_unpacking,do_unpacking
Use,unpack_sequence.test_list_unpacking,test_list_unpacking,iterations,iterations
Use,unpack_sequence.test_list_unpacking,test_list_unpacking,unpack_sequence.test_list_unpacking.x,x
Set,unpack_sequence.test_list_unpacking,test_list_unpacking,unpack_sequence.test_list_unpacking.x,x
Call,unpack_sequence.test_all,test_all,unpack_sequence.test_tuple_unpacking,test_tuple_unpacking
Call,unpack_sequence.test_all,test_all,unpack_sequence.test_list_unpacking,test_list_unpacking
Use,unpack_sequence.test_all,test_all,iterations,iterations
Use,unpack_sequence.test_all,test_all,unpack_sequence.test_all.tuple_data,tuple_data
Use,unpack_sequence.test_all,test_all,unpack_sequence.test_all.list_data,list_data
Set,unpack_sequence.test_all,test_all,unpack_sequence.test_all.tuple_data,tuple_data
Set,unpack_sequence.test_all,test_all,unpack_sequence.test_all.list_data,list_data
Call,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\tests\benchmarks\unpack_sequence.py,unpack_sequence.py,unpack_sequence.test_all,test_all
Use,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\tests\benchmarks\unpack_sequence.py,unpack_sequence.py,unpack_sequence.__main__.times,times
Use,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\tests\benchmarks\unpack_sequence.py,unpack_sequence.py,unpack_sequence.__main__.loops,loops
Set,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\tests\benchmarks\unpack_sequence.py,unpack_sequence.py,unpack_sequence.__main__.times,times
Set,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\tests\benchmarks\unpack_sequence.py,unpack_sequence.py,unpack_sequence.__main__.loops,loops
Import,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\tests\builtins\test_abs.py,test_abs.py,tests.utils.TranspileTestCase,TranspileTestCase
Import,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\tests\builtins\test_abs.py,test_abs.py,tests.utils.BuiltinFunctionTestCase,BuiltinFunctionTestCase
Import,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\tests\builtins\test_all.py,test_all.py,tests.utils.TranspileTestCase,TranspileTestCase
Import,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\tests\builtins\test_all.py,test_all.py,tests.utils.BuiltinFunctionTestCase,BuiltinFunctionTestCase
Import,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\tests\builtins\test_any.py,test_any.py,tests.utils.TranspileTestCase,TranspileTestCase
Import,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\tests\builtins\test_any.py,test_any.py,tests.utils.BuiltinFunctionTestCase,BuiltinFunctionTestCase
Import,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\tests\builtins\test_ascii.py,test_ascii.py,tests.utils.TranspileTestCase,TranspileTestCase
Import,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\tests\builtins\test_ascii.py,test_ascii.py,tests.utils.BuiltinFunctionTestCase,BuiltinFunctionTestCase
Import,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\tests\builtins\test_bin.py,test_bin.py,tests.utils.TranspileTestCase,TranspileTestCase
Import,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\tests\builtins\test_bin.py,test_bin.py,tests.utils.BuiltinFunctionTestCase,BuiltinFunctionTestCase
Import,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\tests\builtins\test_bool.py,test_bool.py,tests.utils.TranspileTestCase,TranspileTestCase
Import,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\tests\builtins\test_bool.py,test_bool.py,tests.utils.BuiltinFunctionTestCase,BuiltinFunctionTestCase
Import,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\tests\builtins\test_bytearray.py,test_bytearray.py,tests.utils.TranspileTestCase,TranspileTestCase
Import,C:\Users\wj86\Documents\gitrepo\eRESC\..\python-workspace\voc\tests\builtins\test_bytearray.py,test_bytearray.py,tests.utils.BuiltinFunctionTestCase,BuiltinFunctionTestCase
